id,company_id,owner_id,deal_type,status,stage,deal_value_usd,lost_reason,previous_deal_id,sub_status,win_reason,key_learning,follow_up_action,created_at,closed_at,follow_up_at
58931704-d3e7-4512-814c-571570f38cab,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,78c6f717-e9bd-4d49-a0ce-566a99e8e45e,new,won,negotiating,4800,,,,speed_to_value,Competitive bake-off win on flexibility,Integration support needed,2018-10-03 03:54:14,2018-12-25 03:54:14,
bef1873c-b000-41c2-8d7e-a599a5a85cd0,28c7f5ae-4524-41ea-81bb-7095fdb1c200,78c6f717-e9bd-4d49-a0ce-566a99e8e45e,new,won,negotiating,4800,,,,competitive_gap,White-glove onboarding helped,Dashboard migration assistance,2019-05-27 03:54:14,2019-06-26 03:54:14,
e0ac2628-6c46-4a24-a921-d469769f389d,65b8ef17-69c6-42a8-95e9-32a54f1dfa16,78c6f717-e9bd-4d49-a0ce-566a99e8e45e,new,won,negotiating,4800,,,,competitive_gap,White-glove onboarding helped,Schedule QBR in 90 days,2020-03-06 03:54:14,2020-04-05 03:54:14,
b70f4c35-366b-492b-97fa-6b2bddee1c98,de3aa434-0488-469b-93b9-969d8acd9c58,3620388c-a5c6-412d-a681-cdfd55da1658,new,won,negotiating,4800,,,,other,Self-serve trial converted smoothly,Upsell conversation in 6 months,2020-10-13 03:54:14,2020-11-17 03:54:14,
4aa56009-7a64-4fb6-a198-cfaceacd9b6d,ddd7c8fd-8564-4c0f-b543-512faa12bdd1,78c6f717-e9bd-4d49-a0ce-566a99e8e45e,new,won,negotiating,9600,,,,product_fit,Executive sponsor pushed deal through,Onboarding kickoff next week,2021-11-03 03:54:14,2021-12-08 03:54:14,
87102cbd-57b2-44f4-8945-93a3491ec8ab,f96523ef-727d-4c38-af22-14023b7432f3,78c6f717-e9bd-4d49-a0ce-566a99e8e45e,new,won,negotiating,500,,,,pricing_advantage,"Partner referral, smooth process",Expand to second team in Q2,2022-08-11 03:54:14,2022-09-11 03:54:14,
584bc067-49c3-49e2-a1d3-569ebab75c20,64c6184b-9e77-45f3-adcf-3c32d2c973d3,78c6f717-e9bd-4d49-a0ce-566a99e8e45e,new,won,negotiating,4800,,,,pricing_advantage,"Strong product fit, fast legal",Schedule QBR in 90 days,2024-09-14 03:54:14,2024-11-24 03:54:14,
cdc95411-0996-4062-a299-c27aeb7c6d94,fbb86341-fd96-4072-88fe-b850b59a8ab1,3620388c-a5c6-412d-a681-cdfd55da1658,new,won,negotiating,2400,,,,product_fit,POC exceeded expectations,Training session scheduled,2025-04-03 03:54:14,2025-05-24 03:54:14,
c1b0be10-cd7d-430e-91d6-f5d788afeaf8,54bc519a-c88a-4a35-927e-ddd4b1c4d413,3620388c-a5c6-412d-a681-cdfd55da1658,new,won,negotiating,36000,,,,product_fit,"Partner referral, smooth process",Training session scheduled,2025-10-12 03:54:14,2026-01-04 03:54:14,
5c05667e-47f4-4925-883d-ef79fc159755,3045fc88-057e-4113-9398-656b0ec8b0ec,3620388c-a5c6-412d-a681-cdfd55da1658,new,won,negotiating,2400,,,,pricing_advantage,Self-serve trial converted smoothly,Expand to second team in Q2,2026-02-20 03:54:14,2026-03-28 03:54:14,
